Avanti's Italian Restaurant,4711 N Rockwood Dr,Peoria,61615,IL,40.74551999,-89.63286271,0,25
Elmer Sudds,475 E Northampton St,Wilkes Barre,18702,City Of Wb,41.23404,-75.87414,,
Pizza Inn,5040 Hardy St,Hattiesburg,39402,MS,31.32153,-89.37178,,
Bravo Pizza Hollywood,5142 Hollywood Blvd,Los Angeles,90027,Los Feliz,34.1017424,-118.3019729,,
La China Poblana,556 State Route 18,East Brunswick,8816,NJ,40.437874,-74.392006,,
Mellow Mushroom,5575 Chamblee Dunwoody Rd,Atlanta,30338,Atl,33.950695,-84.336336,25,40
Louie's Pizza,5996 Stetson Hills Blvd,Colorado Springs,80923,Cimarron Hills,38.9106,-104.716064,,
Bearno's Pizza,6101 Bardstown Rd,Louisville,40291,KY,38.15805,-85.59119,,
Park Ave Pizzeria,620 S Broad St,Lansdale,19446,PA,40.233795,-75.29139,,
Carluccio's,932 S 10th St,Philadelphia,19147,PA,39.938407,-75.159763,25,40
Brix Wine Café,9749 N E 119th Way,Kirkland,98034,Kingsgate,47.7067,-122.2117319,25,40
Rusty Bucket,Woodward Ave Bloomfield Hills Mi,Bloomfield Hills,48304,Bloomfld Hls,42.60250297,-83.26210238,25,40
Mr Shoes Pizza,107 Driving Park Ave,Rochester,14613,NY,43.18093,-77.63273,,
Vincenzo's Pizzeria,109 Main St,Port Jefferson,11777,Prt Jefferson,40.9461912,-73.06889219,0,25
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,8648,Lawrenceville,40.24614006,-74.74381959,,
Midnight Muncheez,1125 Victoria St,Costa Mesa,92627,CA,33.65196,-117.94687,,
Pizza Bella,1136 Thorn Run Rd,Coraopolis,15108,Carpolis,40.505474,-80.207523,,
Joey D's Italian Grill,114 Pleasant St,Marblehead,1945,MA,42.501686,-70.85692,,
North End Pizzeria,11628 Santa Monica Blvd,Los Angeles,90025,Wla,34.0443,-118.45478,,
Calandra's Mediterranean Grill,118 Us Highway 46 E,Fairfield,7004,NJ,40.865722,-74.317511,31,50
Zios Italian Kitchen - Olathe,11981 S Strang Line Rd,Olathe,66062,KS,38.90896786,-94.76871014,25,40
Euro Pizzeria,120 E Post Rd,White Plains,10601,NY,41.02836,-73.76654,,
Mellow Mushroom Pizza Bakers,1201 16th St,Denver,80202,CO,39.748593,-104.996471,25,40
La Vita's Pizzeria,121 W Main St,Moorestown,8057,NJ,39.96295557,-74.94923864,0,25
Joe Cristianos Pizza,1225 Route 9g,Hyde Park,12538,NY,41.79690003,-73.91399757,0,25
Mamma Lucia,12274 Rockville Pike,Rockville,20852,No Bethesda,39.057884,-77.12069,25,40
The Fire Den,1231 Park St,Alameda,94501,CA,37.76190689,-122.2450572,0,25
Jcpenney,1245 Worcester St,Natick,1760,No Natick,42.299273,-71.387153,25,40
The Union Kitchen (memorial Dr),12538 Memorial Dr,Houston,77024,Bunker Hill Village,29.766338,-95.552739,0,30
Gianfabio's Italian Cafe,127 Hilltown Village Ctr,Chesterfield,63017,Clarkson Valley,38.65952,-90.55173,50,55
Poplar Pizza & Restaurant,127 W US Highway 54,Andover,67002,KS,37.67888023,-97.136386,,
Prima Pizza,133 Back River Neck Rd,Essex,21221,MD,39.309917,-76.44597,,
Phat Boyz New York Style Pizzeria,1365 Sam Nunn Blvd,Perry,31069,GA,32.46707731,-83.74068329,10,15
City Pizza,1370 Riverfront Ctr,Amsterdam,12010,West Glenville,42.93636,-74.18918,,
Original Giorgio's,14 Scott Adam Rd,Cockeysville,21030,MD,39.47173,-76.63863,,
Pirate's Cove,1401 Coshocton Ave,Mount Vernon,43050,OH,40.40309,-82.44859,,
Maria D's,1411 Mountain Rd,Joppa,21085,Joppatowne,39.43921497,-76.34532504,,
Mellow Mushroom - Phoenix,14205 S 50th St,Phoenix,85044,AZ,33.317959,-111.975645,0,30
Tomaso's,163 Old River Rd,Edgewater,7020,NJ,40.806462,-73.992604,50,55
Quinnipiac Pizza Deli,1653 Quinnipiac Ave,New Haven,6513,Fair Haven,41.331116,-72.86771,,
Davanti Enoteca - Little Italy,1655 India St,San Diego,92101,CA,32.722675,-117.168069,0,30
The County Cork Wine Pub,1716 Liberty Rd,Sykesville,21784,MD,39.399492,-76.934053,0,30
Gino's Pizza,1829 Eastgate Rd,Toledo,43614,OH,41.60682,-83.65281,,
Lil' Frankie's,19 First Ave,New York,10003,Manhattan,40.723621,-73.988551,0,30
Two Brothers Pizza,19065 Beach Blvd,Huntington Beach,92648,CA,33.68510357,-117.9903746,,
Hungry Howie's Pizza,1909 E Ray Rd,Chandler,85225,AZ,33.32076,-111.80924,,
Straw Hat Pizza,191 San Felipe Rd,Hollister,95023,CA,36.858784,-121.40163,,
Johnny's Pizza House,1924 Julia St,Rayville,71269,Holly Ridge,32.46283,-91.75999,,
Icon Grill,1933 5th Ave,Seattle,98101,WA,47.613,-122.3383,25,40
Morina's Italian Restaurant,2006 S Pine St,Cabot,72023,AR,34.94331,-92.0087,0,25
The Depot,201 Railroad St W,Missoula,59802,MT,46.8759566,-113.9938798,,
Aubree's Northville,20420 Haggerty Rd,Northville,48167,MI,42.43673068,-83.43467653,25,40
Pizza Forum,215 Main St,Auburn,46706,Norland Park,41.36616803,-85.0557612,,
Mamas Pizza,219 S Sandusky Ave,Bucyrus,44820,OH,40.807389,-82.975592,,
Piazza D'angelo,22 Miller Ave,Mill Valley,94941,Strawberry Point,37.905361,-122.548607,0,30
Gran Morsi,22 Warren St,New York,10007,Manhattan,40.71432,-74.00777,31,50
The Pizza Stop,222 E Main St,Collegeville,19426,Rahns,40.1839699,-75.45161311,,
Abo's Pizza,2220 Wildcat Reserve,Littleton,80129,CO,39.53555771,-105.0149,,
Mi Pal's Deli,2300 S 16th St,Philadelphia,19145,PA,39.92231,-75.17348,0,25
24 Hour Express Locksmith Inc,2328 Fairmount Ave,Philadelphia,19130,PA,39.967141,-75.176412,,
The Pizza Joint,2402 N High St,Columbus,43202,OH,40.0112827,-83.0105048,,
Disalvo's Pizza Italian Restaurant,2486 N Federal Hwy,Pompano Beach,33064,Deerfield Beach,26.262205,-80.09921,,
Giovanni's Pizzeria,250 Sicklerville Rd,Sicklerville,8081,NJ,39.712646,-74.96237,,
Ameci Pizza & Pasta,25431 Trabuco Rd,Lake Forest,92630,CA,33.648342,-117.686806,,
Gino's Pizza of Babylon,258 Deer Park Ave,Babylon,11702,Gilgo Beach,40.70027,-73.32266,,
Positano - Greensboro,2605 Lawndale Dr,Greensboro,27408,Guilford Courthouse National,36.101983,-79.820644,0,30
Giovanni's Pizza and Pasta,26900 Newport Rd,Menifee,92584,CA,33.68678191,-117.1903038,25,40
Warrens Place,27 Pleasant St,South Weymouth,2190,Weymouth Nas,42.17215921,-70.95452033,25,40
Bertucci's,2847 State Route 35,Hazlet,7730,NJ,40.41778328,-74.17122535,25,40
Spinelli's Pizza,2905 Goose Creek Rd,Louisville,40241,Brownsboro Farm,38.287037,-85.57828,,
Marco's Pizza,298 Racetrack Rd,Mcdonough,30252,GA,33.430286,-84.13417,,
Empire Pizza,300 New Britain Rd,Berlin,06037-1355,CT,41.64044,-72.76979,,
Pronto Pizza,303 SE 17th St,Ocala,34471,FL,29.171679,-82.13436,,
Prison Brews Brewery & Restaurant,305 Ash St,Jefferson City,65101,Honey Creek,38.568717,-92.161596,25,40
Steinway Pizza,3151 Steinway St,Astoria,11103,Queens,40.7600589,-73.91814829,,
Tommy V's Osteria Pizzeria,3223 E Camelback Rd,Phoenix,85018,AZ,33.50976,-112.012284,,
Rivertowne North Shore,337 N Shore Dr,Pittsburgh,15212,Pitt,40.44582032,-80.01054704,25,40
Hungry Howie's Pizza,33901 Woodward Ave,Birmingham,48009,MI,42.53826,-83.20606,,
Michael's Cuisine,3413 W 7th St,Fort Worth,76107,TX,32.751249,-97.366614,0,30
Chicago Connection,344 W State St,Eagle,83616,ID,43.695107,-116.35804,,
Pizza Chalet,34579 Yucaipa Blvd,Yucaipa,92399,CA,34.03323689,-117.0502934,,
J & G Restaurant,35 S Main St,East Granby,6026,CT,41.940498,-72.72767,25,40
Linguine's Italian Eatery,350 Boston Post Rd W,Marlborough,1752,MA,42.33614,-71.59653,,
7 Day 24 Hours Emergency Locks,3502 Park Ave,Weehawken,7086,NJ,40.771072,-74.02265,,
It's Greek To Me,352 Anderson Ave,Cliffside Park,7010,NJ,40.818148,-73.993316,50,55
Sicilia's Pizzeria,3601 Main St,Weirton,26062,WV,40.399185,-80.59096,,
Nolita,363 Roberts St,East Hartford,6108,East Htfd,41.767954,-72.620425,0,30
La Hacienda Real,3960 Commercial St S E,Salem,,OR,44.90242601,-123.0396652,25,40
Stone and Paddle,40 West St,Vernon Rockville,6066,Rockville,41.86777253,-72.465549,,
Casey's General Store,400 W Mondamin St,Minooka,60447,IL,41.455179,-88.265847,,
Eddie's Italian Restaurant,4002 Lincoln Blvd,Marina Del Rey,90292,CA,33.990407,-118.447324,25,40
Papa Romeo's Pizza,410 Sheridan Rd,Highwood,60040,IL,42.20385,-87.80977,,
Kaydee Kats!,4109 N Prospect Rd,Peoria Heights,61616,IL,40.73677063,-89.57437134,0,25
Takka Grill,418 E Wyoming Ave,Philadelphia,19120,PA,40.02071,-75.11754,,
Casey's General Store,418 W 9th St,Mount Carmel,62863,Friendsville,38.413847,-87.770244,,
Old Chicago Pasta Pizza,4301 W 41st St,Sioux Falls,57106,SD,43.51405,-96.77765,,
The Cheesecake Factory - Thousand Oaks,442 W Hillcrest Dr,Thousand Oaks,91360,CA,34.1847928,-118.8856,0,30
Lia's,4435 Willard Ave,Chevy Chase,20815,Chevy Chs Vlg,38.961927,-77.088031,25,40
Burgers & Cupcakes,458 9th Ave,New York,10018,Nyc,40.75452836,-73.995624,25,40
Tavola,488 9th Ave,New York,10018,Nyc,40.755384,-73.99444,0,30
Maaco Collision Repair & Auto Painting,510 S Mason Rd,Katy,77450,TX,29.776645,-95.753157,,
Nonna's Pizza,52 Lake St,White Plains,10603,North White Plains,41.03797691,-73.75999849,,
